1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9  ,10  ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27  ,28  ,29  ,30  ,31  
Image set,IMAGE,Binary,ID,ID,Date/Time,Date/Time,ID,Width [pixel],Height [pixel],Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Longitude,Latitude,Pos X [pixel],Pos Y [pixel],Pos X [pixel],Pos Y [pixel],Size [pixel]
(subset; oc : oil/coast; ow : ...),(jpg_file),(xml_file),(tag),(patch_name),(start_time),(end_time),(Sentinel_ID),(patch_width),(patch_height),(patch_ul_lon),(patch_ul_lat),(patch_ur_lon),(patch_ur_lat),(patch_br_lon),(patch_br_lat),(patch_bl_lon),(patch_bl_lat),(obj_ul_lon),(obj_ul_lat),(obj_ur_lon),(obj_ur_lat),(obj_br_lon),(obj_br_lat),(obj_bl_lon),(obj_bl_lat),(obj_patchloc_xmin),(obj_patchloc_ymin),(obj_patchloc_xmax),(obj_patchloc_ymax),(label_size)
ow,ow-0001.jpg,ow-0001.xml,ow-0001-01-000001,S1_20190101_034235_034350_VV_1,2019-01-01T03:42:35,2019-01-01T03:43:50,S1B_IW_GRDH_1SDV_20190101T034300_20190101T034325_014295_01A97E_39B8.SAFE,640,640,33.14452564,33.30630759,33.00894514,33.32522602,32.98649421,33.21004467,33.1220747,33.19112624,33.06102064,33.26305446,33.05614822,33.26373434,33.05453455,33.25545568,33.05940698,33.2547758,345,297,368,343,1058
ow,ow-0002.jpg,ow-0002.xml,ow-0002-01-000002,S1_20190104_155638_155818_VV_2,2019-01-04T15:56:38,2019-01-04T15:58:18,S1A_IW_GRDH_1SDV_20190104T155703_20190104T155728_025330_02CD9D_BBAA.SAFE,640,640,31.97281581,31.61930822,32.10612707,31.63879275,32.08264054,31.75419203,31.94932927,31.7347075,32.0268314,31.67956341,32.03328866,31.68050719,32.0310868,31.69132587,32.02462954,31.69038209,309,282,340,342,1860
ow,ow-0003.jpg,ow-0003.xml,ow-0003-01-000003,S1_20190110_155611_155635_VV_9,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,30.57330865,31.50539385,30.70549939,31.52585268,30.68102785,31.64083705,30.54883711,31.62037822,30.62283825,31.57040392,30.63254601,31.57190636,30.6317048,31.57585895,30.62199704,31.57435651,297,309,344,331,1034
ow,ow-0004.jpg,ow-0004.xml,ow-0004-01-000004,S1_20190110_155611_155635_VV_10,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,31.12836228,31.64493587,31.26135747,31.66521933,31.23701977,31.78014611,31.10402458,31.75986266,31.18936654,31.70836865,31.192068,31.70878066,31.19134547,31.71219255,31.18864401,31.71178054,347,292,360,311,247
ow,ow-0004.jpg,ow-0004.xml,ow-0004-02-000005,S1_20190110_155611_155635_VV_10,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,31.12836228,31.64493587,31.26135747,31.66521933,31.23701977,31.78014611,31.10402458,31.75986266,31.23682663,31.75472058,31.24139834,31.75541783,31.23755755,31.77355471,31.23298584,31.77285747,614,503,636,604,2222
ow,ow-0004.jpg,ow-0004.xml,ow-0004-03-000006,S1_20190110_155611_155635_VV_10,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,31.12836228,31.64493587,31.26135747,31.66521933,31.23701977,31.78014611,31.10402458,31.75986266,31.18163433,31.71145297,31.18412799,31.71183328,31.18370969,31.71380859,31.18121603,31.71342827,314,315,326,326,132
ow,ow-0005.jpg,ow-0005.xml,ow-0005-01-000007,S1_20190110_155611_155635_VV_11,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,32.09281401,31.85618071,32.22500475,31.87663953,32.20053321,31.9916239,32.06834248,31.97116508,32.15234941,31.9182854,32.15957859,31.91940424,32.15866091,31.92371616,32.15143173,31.92259732,341,285,376,309,840
ow,ow-0005.jpg,ow-0005.xml,ow-0005-02-000008,S1_20190110_155611_155635_VV_11,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,640,640,32.09281401,31.85618071,32.22500475,31.87663953,32.20053321,31.9916239,32.06834248,31.97116508,32.13187112,31.92328159,32.13992649,31.9245283,32.13854997,31.93099617,32.1304946,31.92974946,250,329,289,365,1404
